compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Iloperidone,D2 antagonist,D2 and 5-HT2A receptors,Schizophrenia,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,XMXHEBAFVSFQEX-UHFFFAOYSA-N,71360,OK,78,"This molecule triggers a 'Hard Kill' alert for hERG liability. The combination of a basic piperidine nitrogen, a flexible 3-carbon linker, and two aromatic termini (benzisoxazole and acetophenone) creates a textbook hERG pharmacophore. Furthermore, the acetophenone moiety is a metabolic soft spot (reduction to alcohol), and the methoxy group invites O-demethylation. While the cLogP is acceptable, the safety margins for QT prolongation will likely be non-existent. This is 'lazy' chemistry relying on flexible linkers to span a pocket, paying a heavy price in safety. Tox Summary: Not Clean (hERG/QT Liability).",Low,"hERG Pharmacophore (Basic amine + Linker + Aromatics), Acetophenone (Metabolic liability), 1,2-benzisoxazole (Ring opening)",0.2,High risk of QT prolongation (hERG) leading to early termination or dose-capping.,0.2,"Even if it passes P1, the therapeutic window will be compressed by cardiovascular safety margins.",0.05,Commercial viability is low due to likely Black Box warnings for QT prolongation.,0.002,,2009.0
Asenapine,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia/Bipolar,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),,CN1C[C@H]2[C@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,CN1CCH2CH(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,163091,OK,45,"A highly lipophilic, compact tetracyclic system. While the Ligand Efficiency (LE) is likely elite, the molecule suffers from the 'Grease Tax'. The cLogP is high relative to its small size, and the basic amine combined with this lipophilicity suggests a massive Volume of Distribution (Vd) and potential for phospholipidosis. The chloro-substituted aromatic ring within a fused system raises a flag for reactive metabolite formation (bioactivation). Additionally, the low TPSA and high logP suggest nearly 100% absorption but potentially extensive first-pass metabolism, limiting oral bioavailability. It's a 'brick' in the making. Tox Summary: Watch DILI/Bioactivation.",Low,"Chloro-arene (Bioactivation risk), Fused tetracycle (idiosyncratic tox risk)",0.6,"Safety is moderate, but PK variability due to high first-pass metabolism could be an issue.",0.3,"Efficacy is likely, but maintaining consistent plasma levels might be difficult without specialized formulation.",0.1,DILI risk from high body burden of lipophilic drug could derail chronic use.,0.018,,2009.0
Lumateperone,D2/5-HT2 modulator,"5-HT2A and D2 receptors, SERT",Schizophrenia,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN2[C@H]3CCN(C[C@H]3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,CN1CCN2CH3CCN(CCH3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,HOIIHACBCFLJET-SFTDATJTSA-N,21302490,OK,28,"An intriguing mix of a highly novel, complex tetracyclic core and a 'standard' butyrophenone tail. The core has high Fsp3 and specific stereochemistry, which is excellent for selectivity and patentability. The tail, however, is a known hERG liability (haloperidol-like), though the rigidity of the core might mitigate the exact spatial overlap required for hERG channel blocking. The ketone is a metabolic handle. Overall, the investment in the complex core pays off in 'Developability Credit', balancing the risks of the side chain. Tox Summary: Clean (Monitor hERG).",Medium,"Fluorobutyrophenone tail (hERG risk, ketone reduction)",0.7,"Generally safe, provided the hERG margin is established early.",0.4,Strong target engagement expected. PK profile should be predictable.,0.15,Good candidate for chronic dosing if cardiac safety is confirmed.,0.042,,2019.0
Amisulpride,D2/D3 antagonist,D2 and D3 receptors,Schizophrenia,Approved,2020,,,approved,CNS,,approved_control,Approved controls (success),,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,NTJOBXMMWNYJFB-UHFFFAOYSA-N,2159,OK,38,"The 'Polar Bear' of the batch. This molecule has very low lipophilicity (cLogP ~1.0) and high polarity (Sulfone, Amide, Aniline). While this grants it exceptional safety regarding DILI and promiscuity (high LipE), it severely penalizes CNS penetration. The TPSA is bordering on the 90 Å² cutoff. It will likely require high doses to achieve brain occupancy, or rely on active transport. The aniline moiety is generally stable in this benzamide context but is a structural alert for N-oxidation. It is a safe, selective molecule that might fail simply because it can't get to the target. Tox Summary: Clean.",High,"Aniline (N-oxidation risk), Primary amine",0.85,Very low toxicity risk due to low lipophilicity. Phase 1 safety should be a breeze.,0.25,High risk of failure due to lack of efficacy (poor BBB penetration).,0.15,"If it works, it's a blockbuster due to clean safety profile.",0.032,,2020.0
Perospirone,D2/5-HT2 antagonist,D2 and 5-HT2A receptors,Schizophrenia,Approved,2001 (Japan),,,approved,CNS,,approved_control,Approved controls (success),,C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,C1CCCH2CH(C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,FBVFZWUMDDXLLG-HDICACEKSA-N,115368,OK,15,"Elite structural design. This molecule balances high molecular complexity (Fsp3 via the chiral bicyclic imide) with a privileged heteroaromatic tail (benzisothiazole). The MW is bordering on high (~490), but the TPSA and LogP are in the 'Goldilocks Zone' for CNS. The rigid, 3D scaffold minimizes non-specific binding compared to flat aromatics. The butyl linker is a metabolic soft spot, but the overall topology suggests high potency and selectivity. This is what a modern, optimized CNS candidate looks like. Tox Summary: Clean.",Medium,None significant; Benzisothiazole is robust.,0.85,High selectivity predicts a clean safety window.,0.65,Strong physicochemical properties for CNS penetration and receptor occupancy.,0.5,Strong candidate for approval if efficacy translates.,0.8,,2001.0
Dexmethylphenidate,Catecholamine RI,DAT and NET (more active d-enantiomer),ADHD,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2,COC(=O)CH(CH1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-CHWSQXEVSA-N,154101,OK,32,"This is the resolved enantiomer of the previous entry. By isolating the eutomer, the Lipophilic Efficiency (LipE) is maximized, and the 'distomer tax' is removed. The physicochemical profile remains elite for CNS penetration. The methyl ester liability persists, meaning the molecule will still face rapid clearance, but the potency-to-dose ratio is significantly improved over the racemate. Tox Summary: Clean.",Low,,0.75,Clean safety profile expected; chiral resolution removes distomer noise.,0.45,"Efficacy is high, though PK (half-life) remains the primary attrition risk.",0.2,"Clinically validated mechanism class, but generic competition is a risk.",0.4,,2001.0
Lisdexamfetamine,Prodrug (amphetamine),Prodrug converted to Dextroamphetamine (targeting DAT and NET),ADHD,Approved,2007,,,approved,CNS,,approved_control,Approved controls (success),,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](CCCCN)N,CCH(CC1=CC=CC=C1)NC(=O)CH(CCCCN)N,VOBHXZCDAVEXEY-JSGCOSHPSA-N,11597698,OK,12,"An elegant prodrug design. The active phenethylamine payload is coupled via an amide bond to a polar amino acid moiety. This modification drastically lowers logD and increases TPSA, effectively preventing direct CNS penetration and abuse potential (snorting/injection). Bioactivation requires enzymatic hydrolysis (likely peptidase-mediated) in the blood/gut, enforcing a rate-limited release profile that blunts Cmax spikes. Chemically stable and highly developable. Tox Summary: Clean.",High,,0.85,Prodrug strategy reduces acute toxicity and Cmax-related AEs.,0.6,Extended release profile improves efficacy/compliance.,0.4,Differentiation via PK profile offers strong commercial viability.,0.65,,2007.0
Atomoxetine,Selective NRI,Norepinephrine transporter (NET),ADHD,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,CC1=CC=CC=C1OCH(CCNC)C2=CC=CC=C2,VHGCDTVCOLNTBX-QGZVFWFLSA-N,54841,OK,28,"Textbook CNS scaffold design. The molecule features a low MW (< 300) phenoxypropylamine core, which typically yields high ligand efficiency. The secondary amine (pKa ~9.5) ensures solubility, while the lipophilicity (cLogP ~3.5) is within the Goldilocks zone for blood-brain barrier penetration. However, the ortho-tolyl methyl group is a glaring metabolic 'soft spot' susceptible to rapid benzylic oxidation by CYPs (likely 2D6/3A4), potentially leading to high inter-patient variability. The flexible linker suggests an entropic penalty upon binding unless the receptor pocket is highly induced. Tox Summary: Clean.",Medium,"None (Benzylic methyl is a clearance liability, not tox)",0.85,"Clean structure, no structural alerts, standard CNS pharmacophore.",0.45,High probability of target engagement; main risk is PK variability due to metabolism.,0.3,"Standard CNS attrition risks, but chemistry is robust.",0.8,,2002.0
Modafinil,Wakefulness agent,DAT inhibition and modulation of glutamatergic/GABAergic circuits,Narcolepsy,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,YFGHCGITMMYXAQ-UHFFFAOYSA-N,4236,OK,45,"A 'lazy' entry due to lack of stereocontrol. The structure is a benzhydryl sulfinyl acetamide. While the physicochemical properties (MW < 300, moderate polarity via sulfoxide/amide) are acceptable for CNS, the presence of a chiral sulfoxide in a racemic mixture is a significant developability penalty in modern MedChem. Sulfoxides are metabolic chameleons—prone to both oxidation (to sulfone) and reduction (to sulfide)—creating a complex PK profile. The racemate implies 50% 'inert burden' or potential off-target toxicity from the distomer. Tox Summary: Clean fragments, but 'Racemate Tax' applied.",Medium,,0.7,Racemate complicates PK/PD and safety interpretation.,0.3,Efficacy dilution by distomer reduces probability of success.,0.15,Regulatory hurdles for racemates are higher; switch to enantiomer likely required.,0.6,,1998.0
Armodafinil,Wakefulness agent,DAT inhibition (R-enantiomer of modafinil),Narcolepsy,Approved,2007,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,YFGHCGITMMYXAQ-LJQANCHMSA-N,9690109,OK,20,"The 'Professional' version of the previous entry. Isolating the single enantiomer of the sulfoxide resolves the 'distomer tax' and simplifies the PK/PD relationship. The molecule retains the excellent CNS properties: low MW, balanced lipophilicity/polarity (sulfoxide + amide), and high fraction sp3 for a small aromatic system. The benzhydryl tail provides significant hydrophobic anchorage, while the polar headgroup manages solubility. Metabolic susceptibility at the sulfoxide remains (redox cycling), but this is a manageable liability for a lead with such high efficiency. Tox Summary: Clean.",Medium,,0.9,"Clean profile, single enantiomer, low toxicity risk.",0.55,High CNS exposure and clean pharmacology predict good translation.,0.4,Strong commercial viability and safety profile.,0.9,,2007.0
Levetiracetam,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,1999,,,approved,CNS,,approved_control,Approved controls (success),,CC[C@@H](C(=O)N)N1CCCC1=O,CCCH(C(=O)N)N1CCCC1=O,HPHUVLMMVZITSG-LURJTMIESA-N,5284583,OK,12,"This is an exceptionally lean scaffold (MW < 200). While the physicochemical properties for CNS penetration are ideal (low cLogP, low TPSA), the lack of hydrophobic bulk suggests this molecule likely suffers from low intrinsic potency, necessitating a high clinical dose (Gram-level?). However, from a safety and developability standpoint, it is pristine. No structural alerts, no metabolic soft spots, and high Fsp3 character. It is a 'Lead-like' fragment that somehow made it to the clinic. Tox Summary: Clean.",High,,0.92,Chemically inert scaffold with minimal toxicity risks.,0.65,High probability of safety success; efficacy depends entirely on whether this fragment can drive sufficient affinity.,0.45,"If potency is sufficient, this is a commercial winner due to low COGS and clean safety profile.",0.85,,1999.0
Brivaracetam,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,2016,,,approved,CNS,,approved_control,Approved controls (success),,CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N,CCCCH1CC(=O)N(C1)CH(CC)C(=O)N,MSYKRHVOOPPJKU-BDAKNGLRSA-N,9837243,OK,8,"This is the 'Goldilocks' evolution of the previous pyrrolidone scaffold. The addition of the propyl chain and the ethyl group on the ring introduces just enough lipophilicity (cLogP ~1.5-2.0) to optimize brain penetration and likely improve potency via hydrophobic contacts, without incurring a 'Grease Tax'. The molecule retains high Fsp3 character and low MW (< 250). It represents the pinnacle of CNS small molecule design: potent, soluble, and metabolically predictable. Tox Summary: Clean.",High,,0.92,Retains the safety profile of the parent scaffold while optimizing ADME.,0.7,Superior LipE profile suggests better target engagement at lower doses.,0.5,Ideal chronic CNS drug profile.,0.9,,2016.0
Lacosamide,Na+ channel modulator,Slow inactivation of voltage-gated Na+ channels; also binds to CRMP2,Epilepsy,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),,CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,CC(=O)NCH(COC)C(=O)NCC1=CC=CC=C1,VPPJLAIAVCUEMN-GFCCVEGCSA-N,219078,OK,18,"A functionalized amino-acid derivative. The structure is essentially a 'linearized' peptidomimetic with a benzyl cap. While chemically stable, the high flexibility (rotatable bonds) incurs an entropic penalty for binding, suggesting moderate potency. The methoxy/acetamide motifs are metabolically benign. The primary risk here is not toxicity, but rather 'vanilla' pharmacology—it lacks the rigid 3D vectors often required for high selectivity. However, for a channel modulator, this 'floppy' nature is sometimes acceptable. Tox Summary: Clean.",Medium,,0.88,Low toxicity risk; standard amide metabolism.,0.55,Efficacy risk due to conformational flexibility and potential for low potency.,0.35,Solid commercial potential if efficacy is proven.,0.75,,2008.0
Perampanel,AMPA antagonist,AMPA-type glutamate receptors,Epilepsy,Approved,2012,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,PRMWGUBFXWROHD-UHFFFAOYSA-N,9924495,OK,65,"This molecule triggers the 'Grease Tax' alarm. It is a flat, poly-aromatic slab (3 aromatic rings + pyridone) with a nitrile handle. cLogP is likely pushing > 4.0, and solubility will be 'Brick Dust' territory. The lack of sp3 character (Fsp3 near zero) is a major developability liability, predicting poor solubility and high plasma protein binding. While the nitrile is stable, the electron-deficient pyridine/pyridone systems are prone to nucleophilic attack or complex CYP interactions. It looks like a promiscuous binder that relies on hydrophobic effect rather than specific interactions. Tox Summary: Not Clean (Promiscuity/Solubility risks).",Low,"Poly-aromatic core (Intercalation/Solubility), Nitrile (minor risk)",0.6,High risk of non-linear PK and solubility-limited absorption.,0.3,High lipophilicity often correlates with clinical attrition due to off-target tox or lack of efficacy at tolerated doses.,0.1,Difficult molecule to formulate and manage chronically.,0.4,,2012.0
Zonisamide,Sodium channel modulator,Voltage-gated Na+ and T-type Ca2+ channels; carbonic anhydrase inhibition,Epilepsy,Approved,2000,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,5734,OK,48,"A mixed bag. The physicochemical properties (MW ~212, low cLogP) are excellent for CNS distribution. However, the molecule contains a primary sulfonamide, which is a classic structural alert for idiosyncratic hypersensitivity (SJS/TEN) and carbonic anhydrase inhibition (off-target effects). The benzisoxazole core is also susceptible to reductive ring opening, potentially generating reactive intermediates. While it fits the CNS MPO guidelines, the specific moieties chosen carry a 'Clinical Tax' requiring heavy safety monitoring. Tox Summary: Not Clean (Sulfonamide alert).",Medium,"Primary Sulfonamide (Hypersensitivity), Benzisoxazole (Reductive ring opening)",0.75,"Generally safe in short term, but sulfonamide allergies are a screen-out factor.",0.4,"Good CNS exposure likely, but safety signals may limit dose escalation.",0.15,Idiosyncratic tox risk makes this a commercially fragile asset.,0.6,,2000.0
