compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Reboxetine,NRI,Norepinephrine Transporter (NET),Depression,Approved,1997 (UK),,,approved,CNS,,approved_control,Approved controls (success),,CCOC1=CC=CC=C1O[C@@H]([C@H]2CNCCO2)C3=CC=CC=C3,CCOC1=CC=CC=C1OCH(CH2CNCCO2)C3=CC=CC=C3,CBQGYUDMJHNJBX-RTBURBONSA-N,127151,OK,22,"Finally, a molecule that respects modern medicinal chemistry principles. 

1. **Physicochemical Balance**: The use of ether linkages breaks up the lipophilicity, keeping the cLogP in the Goldilocks zone (2-3). 
2. **Scaffold**: The morpholine ring is a privileged scaffold. It constrains the amine (reducing entropy), lowers the pKa slightly compared to acyclic amines (improving permeability/efflux ratio), and reduces hERG risk by altering the pharmacophore geometry.
3. **Chirality**: The defined stereochemistry suggests a specific fit for the target pocket rather than non-specific hydrophobic collapse.
4. **LipE**: Likely high. The potency comes from specific interactions (ether oxygens, defined vectors) rather than just grease.

Tox Summary: Clean.",High,None significant. Ethoxy group is a standard metabolic handle.,0.85,Clean hERG and selectivity profile should allow smooth sailing through Phase 1.,0.6,Good ADME properties increase the probability of adequate target coverage in the brain.,0.4,Strong candidate for approval if the biological hypothesis holds.,0.8,
Agomelatine,Melatonin agonist,MT1/MT2 and 5-HT2C receptors,Depression,Approved,2009 (EU),,,approved,CNS,,approved_control,Approved controls (success),,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,YJYPHIXNFHFHND-UHFFFAOYSA-N,82148,OK,28,"This molecule presents a classic CNS scaffold with excellent physicochemical properties. The molecular weight (~243 Da) and cLogP (~2.8) sit perfectly in the 'Goldilocks Zone' for blood-brain barrier penetration. The acetamide side chain provides necessary polarity (H-bond donor/acceptor) to offset the lipophilicity of the naphthalene core without introducing basicity that would trigger hERG liabilities. 

However, the naphthalene ring is a structural alert for metabolic bioactivation (epoxidation/quinone formation), particularly at the 1,2-positions, though the 1,7-substitution pattern mitigates this steric access slightly. The methoxy group is a predictable metabolic soft spot (O-demethylation). Overall, high LipE potential, but the aromatic core requires careful monitoring for reactive metabolite formation. Tox Summary: Clean, manageable risks.",Medium,Naphthalene core (potential epoxidation/quinone risk),0.85,"Clean profile, no hERG pharmacophore (neutral amide), low MW reduces off-target risks.",0.6,Excellent CNS MPO score suggests good target engagement in the brain. Short half-life likely due to CYP1A2 metabolism.,0.4,Liver safety (naphthalene bioactivation) will be the primary scrutiny point in large populations.,0.88,
Tianeptine,Atypical antidepressant,Full MOA complex; affects glutamate/AMPA,Depression,Approved,1988 (France),,,approved,CNS,,approved_control,Approved controls (success),,CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O,CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O,JICJBGPOMZQUBB-UHFFFAOYSA-N,68870,OK,62,"This structure is a physicochemical paradox. It features a highly lipophilic, 'greasy' tricyclic core (dibenzothiazepine) fused with a highly polar, ionizable heptanoic acid tail. For a CNS indication, the free carboxylic acid is a significant liability for passive diffusion across the BBB, suggesting reliance on active transport or a very high dose to force exposure. 

 The tricyclic scaffold is historically associated with 'dirty' pharmacology (promiscuous GPCR binding, antihistaminic/anticholinergic side effects). The sulfonamide adds polarity but also metabolic complexity. The secondary amine linkage is susceptible to N-dealkylation. This looks like a molecule that struggles with bioavailability and selectivity. Tox Summary: Not Clean (Polypharmacology risk).",Medium,"Tricyclic core (promiscuity), Carboxylic acid (permeability liability)",0.7,"Safety likely acceptable, though off-target CNS effects (sedation) are probable due to the tricyclic core.",0.3,CNS penetration is the killer here. The acid moiety severely limits passive diffusion unless a specific transporter is engaged.,0.15,Complex metabolism and potential for idiosyncratic toxicity due to the sulfonamide/tricyclic combination.,0.45,
Phenelzine,MAOI,Monoamine Oxidase (MAO) A and B,Depression,Approved,1961,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)CCNN,C1=CC=C(C=C1)CCNN,RMUCZJUITONUFY-UHFFFAOYSA-N,3675,OK,95,"HARD KILL. This molecule contains a primary hydrazine moiety (-NHNH2). In modern medicinal chemistry, hydrazines are non-starters due to severe toxicity risks: hepatotoxicity, mutagenicity (Ames positive), and mechanism-based inhibition of multiple enzymes (P450s, amine oxidases). 

While the physicochemical properties (MW, LogP) are ideal for CNS entry, the chemical reactivity of the hydrazine group makes it a 'toxic warhead' rather than a drug. It will covalently bind to pyridoxal phosphate (Vitamin B6) and generate reactive free radicals. Tox Summary: Not Clean (Hydrazine Toxicophore).",Low,"Hydrazine (Mutagenic, Hepatotoxic, MBI)",0.1,High risk of early termination due to preclinical tox (liver/genotox).,0.05,"If it survives P1, efficacy is likely, but safety margins will be non-existent.",0.01,Unapprovable in a modern regulatory environment for chronic indications.,0.1,
Tranylcypromine,MAOI,Monoamine Oxidase (MAO) A and B,Depression,Approved,1961,,,approved,CNS,,approved_control,Approved controls (success),,C1C(C1N)C2=CC=CC=C2,C1C(C1N)C2=CC=CC=C2,AELCINSCMGFISI-UHFFFAOYSA-N,5530,OK,68,"This is a mechanism-based suicide inhibitor disguised as a fragment. The phenylcyclopropylamine motif relies on the strained cyclopropane ring opening via a radical mechanism to covalently modify the target enzyme. While effective for potency, this lack of chemical selectivity poses a massive risk for off-target covalent binding. 

Furthermore, the low molecular weight and lack of specific recognition elements suggest high promiscuity across the proteome. It is a 'dirty fragment' that violates the principle of reversible, selective binding. While less overtly toxic than hydrazines, the risk of idiosyncratic drug reactions (IDR) is high. Tox Summary: Not Clean (Reactive Warhead).",Medium,"Cyclopropane (Strained ring/Radical formation), Primary amine (MAO substrate)",0.5,Pressor effects (tyramine interaction) and off-target binding are significant P1 risks.,0.35,"Efficacy is driven by covalent binding, but side effect profile will limit dosing.",0.1,Chronic dosing of a covalent binder with low selectivity is a regulatory nightmare.,0.3,
Isocarboxazid,MAOI,Monoamine Oxidase (MAO) A and B,Depression,Approved,1959,,,approved,CNS,,approved_control,Approved controls (success),,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,3759,OK,82,"This molecule relies on an acyl hydrazide linker (-C(=O)NHNH-), which is a structural alert for metabolic instability and toxicity. Hydrazides can hydrolyze to release hydrazine derivatives or undergo acetylation to form toxic metabolites (reminiscent of Isoniazid toxicity). 

The isoxazole ring is generally acceptable, but combined with the hydrazide, the molecule screams 'chemical instability'. The benzyl group adds lipophilicity but no specific interactions. This structure looks like a library screening hit that should have been triaged out due to the linker. It represents a liability, not a lead. Tox Summary: Not Clean (Hydrazide Linker).",Low,"Acyl Hydrazide (Hydrolysis to hydrazine, Mutagenicity risk)",0.3,Safety concerns regarding the hydrazide linker and potential mutagenicity.,0.15,Poor PK likely due to rapid hydrolysis/metabolism of the linker.,0.05,Hepatotoxicity risks associated with hydrazide metabolites.,0.2,
Selegiline,MAO-B inhibitor,Monoamine Oxidase B (MAO-B),Parkinson/Depression,Approved,2006,,,approved,CNS,,approved_control,Approved controls (success),,C[C@H](CC1=CC=CC=C1)N(C)CC#C,CCH(CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N,26757,OK,48,"The molecule exhibits elite CNS physicochemical properties (MW < 200, cLogP ~2.5, TPSA < 10). However, the terminal alkyne is a 'hard' structural alert for Mechanism-Based Inhibition (MBI) of P450s, not just the intended MAO target. Furthermore, N-dealkylation of the propargyl group reveals a methamphetamine scaffold, introducing severe abuse liability and CV risk. While brain penetration is guaranteed, the metabolic trajectory is dirty. Tox Summary: Not Clean (Active Metabolites/MBI).",Low,"Terminal Alkyne (Suicide inhibition), Amphetamine metabolite (CV/CNS tox)",0.6,"High CNS exposure likely, but sympathomimetic side effects from metabolites may limit dose escalation.",0.45,"Target engagement is highly probable given CNS MPO score, but off-target effects may confound efficacy.",0.2,Chronic dosing of a suicide inhibitor with amphetamine metabolites carries high regulatory risk.,0.05,
Esketamine,NDMA antagonist,NMDA receptor,Depression,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-ZDUSSCGKSA-N,182137,OK,38,"This is a fragment-sized CNS entry with excellent LipE potential. The alpha-amino ketone motif is chemically reactive and prone to rearrangement or oxidation, raising stability concerns. The chlorophenyl ring provides metabolic blocking, but the overall scaffold suggests 'dirty' pharmacology (GPCR/Ion channel promiscuity). The high lipophilicity relative to size suggests high Vd but potential for accumulation. Tox Summary: Clean-ish (Psychotomimetic risk).",Medium,"Alpha-amino ketone (Chemical instability), Chlorophenyl (Environmental persistence)",0.7,"Acute safety likely acceptable, though CNS side effects (dissociation) may define the MTD.",0.4,Efficacy depends on receptor residence time; rapid clearance via N-demethylation is a risk.,0.3,Abuse liability studies will be the primary hurdle for commercialization.,0.08,
Lamotrigine,Na+ channel modulator,Voltage-gated Na+ channels,Epilepsy/Bipolar,Approved,1994,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,PYZRQGJRPPTADH-UHFFFAOYSA-N,3878,OK,22,"A highly efficient CNS scaffold. The 1,2,4-triazine-3,5-diamine core provides a high polar surface area to dampen LogP while maintaining planarity for stacking interactions. The 2,3-dichloro substitution pattern effectively blocks metabolic soft spots on the phenyl ring. The primary risk is idiosyncratic toxicity (skin reactions) often associated with electron-rich nitrogenous heterocycles, but structurally, this is a superior design for a chronic oral drug. Tox Summary: Clean.",High,Amino-triazine (potential hapten formation/SJS risk),0.85,Clean metabolic profile and low lipophilicity suggest good tolerability.,0.55,Excellent bioavailability and CNS penetration maximize probability of target engagement.,0.45,Rare idiosyncratic skin toxicity is the only major attrition risk in late stage.,0.21,
Valproate,HDAC modulator,HDAC and Voltage-gated Na+ channels,Epilepsy/Bipolar,Approved,1994,,,approved,CNS,,approved_control,Approved controls (success),,CCCC(CCC)C(=O)[O-],CCCC(CCC)C(=O)O-,NIJJYAXOARWZEE-UHFFFAOYSA-M,3549980,OK,85,"This is a branched fatty acid, not a modern drug candidate. The potency is likely in the millimolar range, necessitating gram-level dosing. High daily dose burden (>1g) is a violation of the 'Rule of Two' for DILI risk. The carboxylic acid will form acyl glucuronides, which are reactive electrophiles capable of protein adduct formation. Additionally, inhibition of beta-oxidation via alpha-branching can lead to mitochondrial toxicity (steatosis). Tox Summary: Not Clean (DILI/Mitochondrial Tox).",High,"Carboxylic Acid (Acyl glucuronide formation), Alpha-branched aliphatic tail (Mitochondrial interference)",0.8,"Acute safety is likely high due to low intrinsic potency, but PK will be non-linear.",0.2,"Efficacy will require massive exposures, leading to narrow therapeutic indices.",0.1,High dose burden correlates strongly with idiosyncratic liver injury and teratogenicity.,0.01,
Carbamazepine,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,FFGPTBGBLSHEPO-UHFFFAOYSA-N,2554,OK,65,"The tricyclic scaffold is rigid, but the central cis-stilbene-like double bond is a major metabolic liability. It is primed for P450 epoxidation to form a stable, reactive epoxide, which is a known structural alert for idiosyncratic toxicity and immune sensitization. Furthermore, such lipophilic tricycles are classic PXR activators, leading to auto-induction of metabolism. While CNS penetration is good, the 'dirty' metabolic profile makes this a legacy design. Tox Summary: Not Clean (Reactive Epoxide).",Low,"Cis-stilbene bridge (Epoxide formation), Urea (Hydrolysis risk)",0.7,"Tolerable acutely, but enzyme induction may complicate multiple ascending dose (MAD) studies.",0.45,"Good tissue distribution supports efficacy, but drug-drug interactions (DDI) will be problematic.",0.15,"Reactive metabolite formation poses a severe risk for rare, fatal adverse events (SJS/DILI).",0.04,
Oxcarbazepine,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,CTRLABGOLIVAIY-UHFFFAOYSA-N,34312,OK,48,"This is a compact, rigid tricyclic scaffold with excellent CNS physicochemical properties (MW < 250, cLogP ~2.5). However, the central alkene bridge (stilbene-like) is a glaring metabolic liability, highly susceptible to P450-mediated epoxidation. This reactive epoxide metabolite poses a significant risk for idiosyncratic toxicity and immune-mediated reactions. The primary amide is also a hydrolysis risk. While brain penetration should be high, the 'dirty' metabolic profile of this tricyclic core suggests auto-induction and drug-drug interaction risks. Tox Summary: Not Clean (Epoxide risk).",Low,"Stilbene-like alkene (Epoxidation risk), Primary amide (Hydrolysis)",0.65,"Reasonable safety start, but reactive metabolite potential (epoxide) caps confidence.",0.4,"Good CNS exposure likely, but short half-life or auto-induction could complicate dosing.",0.15,Idiosyncratic tox risks from the epoxide could derail large chronic trials.,0.039,
Topiramate,Na+ channel modulator,Na+ channels and GABA-A receptors,Epilepsy/Migraine,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,CC1(OCH2COC3(CH(CH2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N,5284627,OK,22,"A refreshing departure from the 'flat aromatic' paradigm. This bis-acetonide sugar scaffold boasts exceptional Fsp3 character and intrinsic solubility. The sulfamate moiety is a validated pharmacophore, though it carries a specific liability for Carbonic Anhydrase inhibition (renal stone risk). The primary risk here is the acid stability of the acetonide protecting groups in the stomach; if they hold, this is a high-quality, low-promiscuity lead. It avoids the 'Grease Tax' entirely. Tox Summary: Clean (Watch for CA inhibition).",High,"Sulfamate (Carbonic Anhydrase off-target), Acetonides (Acid instability risk)",0.85,Low lipophilicity suggests clean safety profile and low off-target binding.,0.55,Unique mechanism/structure space. Efficacy depends on specific transport/binding.,0.3,"If efficacy is proven, safety profile is likely superior to aromatic competitors.",0.14,
